Current Rank,Last Rank,Age,Academic score,Employer score,Faculty Student score,CitationsPerFaculty score,InternationalFaculty score,InternationalStudent score,Overall Score,color
312,  355 ,4,14.1,29.2,99,8.7,28.1,40,33.6,blue
  313 ,318,5,20.1,11,11.1,73.2,87.7,59.1,33.4,blue
  313 ,  344 ,5,24,25.1,47.7,47,36.3,9.7,33.4,blue
  315 ,  339 ,3,9.7,4,39.8,100,9.9,9,33.3,blue
  315 ,460,2,6.4,7.4,82.7,27.7,100,56.9,33.3,blue
  317 ,  314 ,5,38.2,36.2,43.1,11.4,19,47.8,33.2,blue
  317 ,  319 ,5,7.8,8.7,58.5,39.7,92.2,97.6,33.2,blue
  319 ,  299 ,5,20.7,18.2,85.8,15.5,10.6,43.1,33.1,blue
  319 ,  357 ,4,15.1,18.4,9.3,79.6,93.5,52.9,33.1,blue
  321 ,322,4,24.5,11.8,84.1,17,12.7,16.7,32.8,blue
  321 ,  314 ,5,20.4,21.6,82.7,18.9,22.4,20,32.8,blue
  323 ,304,5,42.7,31.2,26.2,19.7,41.6,22.1,32.7,blue
  323 ,  349 ,3,10,3.7,94.8,4.8,100,65.7,32.7,blue
325,  325 ,4,45.2,24.8,9.8,45.1,11.5,6.2,32.5,blue
  326 ,  346 ,5,18.8,22.2,29.1,39.4,78.5,97.4,32.3,blue
  326 ,  341 ,5,18.5,7.1,92.7,20.8,,28.2,32.3,blue
328,  301 ,5,36.9,25.5,17.1,52.9,6.2,9.5,32.2,blue
  329 ,  325 ,3,24,24.4,14.9,47,98.3,54.4,32.1,blue
  329 ,  373 ,4,9.9,20,96.1,5.1,44.1,72.6,32.1,blue
  329 ,  308 ,5,34.1,33.2,45.4,20.4,28,10.5,32.1,blue
  332 ,  346 ,4,11.9,16.8,21,56.9,98.9,98.5,32.0,blue
  332 ,  316 ,4,27.3,28.9,18.7,24.9,98.8,89.1,32.0,blue
  332 ,  349 ,3,13.9,19.3,61.9,10.5,100,99.5,32.0,blue
