CurrentRank,LastRank,Institution,Country,Size,Focus,Research,Age,Status,Academicscorerscore,Academicrankrank,Employerscore,Employerrank,FacultyStudentscore,FacultyStudentrank,CitationsPerFacultyscore,CitationsPerFacultyrank,InternationalFacultyscore,InternationalFacultyrank,InternationalStudentscore,InternationalStudentrank,OverallScore,Latitude,Longitude,anno,pca_1,pca_2,color
97,92,UNIVERSITY OF ST ANDREWS,United Kingdom,M,FC,VH,5,A,43.2,181,47.7,181,69.0,206,77.0,73,99.0,74.0,99.9,25.0,61.4,56.341364,-2.793838,2019,4.095292942321828,0.8402243131143688,red
98,97,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,China,L,CO,VH,4,A,53.7,135,35.9,262,74.2,178,98.4,17,15.9,583.0,5.9,601.0,60.8,31.8408885,117.26286,2019,2.9565710498849147,-1.3279129543494637,red
99,104,EINDHOVEN UNIVERSITY OF TECHNOLOGY,Netherlands,M,FO,VH,4,A,29.7,275,51.2,165,82.1,136,94.9,25,97.7,99.0,47.5,302.0,59.8,28.362228,75.588597,2019,3.653238881657736,0.6598142032948129,red
100,105,PURDUE UNIVERSITY,United States,XL,FC,VH,5,A,65.7,92,60.7,124,35.2,431,58.3,176,97.5,104.0,69.2,195.0,59.5,40.416012,-86.929836,2019,3.8313101335403954,0.3645318192619539,red
100,108,SUNGKYUNKWAN UNIVERSITY,South Korea,L,FC,VH,5,B,55.0,132,81.8,69,88.3,95,43.5,295,21.1,514.0,34.0,396.0,59.5,37.585447,126.995297,2019,3.376953961915246,-1.6094072416264742,red
100,118,"UNIVERSITY OF CALIFORNIA, DAVIS (UCD)",United States,XL,FC,VH,5,A,71.4,78,40.4,227,33.8,450,73.5,83,56.7,305.0,49.5,292.0,59.5,38.539555,-121.751827,2019,3.38095148327882,-0.5548829969245723,red
100,100,WASHINGTON UNIVERSITY IN ST. LOUIS,United States,L,FC,VH,5,B,43.4,179,18.7,485,99.8,29,67.2,115,74.1,231.0,60.1,242.0,59.5,38.648015,-90.311359,2019,3.3406927628966843,-0.3055251736746349,red
104,98,"KTH, ROYAL INSTITUTE OF TECHNOLOGY",Sweden,L,CO,VH,5,A,45.5,170,69.5,101,60.5,253,75.2,78,95.1,131.0,42.6,331.0,59.3,59.3464415,18.07222775,2019,3.7998911134458986,-0.1058644932630786,red
104,88,TRINITY COLLEGE DUBLIN (TCD),Ireland,L,FC,VH,5,A,58.8,117,55.6,141,39.9,387,63.1,132,98.7,83.0,91.2,96.0,59.3,53.344310500000006,-6.2578510000000005,2019,3.940927249426287,0.7525571972645474,red
106,95,THE HONG KONG POLYTECHNIC UNIVERSITY,Hong Kong,L,CO,VH,2,A,58.0,120,39.3,234,65.2,224,49.2,241,99.6,64.0,78.6,155.0,59.1,22.3046025,114.179821,2019,3.269362333915542,2.355373516325064,red
107,106,YONSEI UNIVERSITY,South Korea,L,FC,VH,5,B,59.8,114,81.6,71,86.1,111,33.4,380,17.2,571.0,38.0,363.0,58.9,37.567768,126.938323,2019,3.303170403455556,-1.6267778676271911,red
108,98,UNIVERSITY OF GENEVA,Switzerland,L,FC,VH,5,A,48.0,157,27.8,353,56.9,274,75.0,79,100.0,34.0,98.6,47.0,58.4,46.199198,6.144717999999999,2019,3.7271984900447817,0.9072670046625828,red
